"Reference","Value","Qty","Part Number","Link"
"C1,C3,C7","22n","3","C1206C223K3RACTU","https://www.mouser.com/ProductDetail/KEMET/C1206C223K3RACTU?qs=nanIO8yDHNwBF9gQ989a6w%3D%3D"
"C2,C4,C5","1u","3","C1206C105K4RAC","https://www.mouser.com/ProductDetail/KEMET/C1206C105K4RAC?qs=esDHISMOsl1e4qSv4fn%2FRQ%3D%3D"
"C6","3.3n","1","C1206C332K3RACTU","https://www.mouser.com/ProductDetail/KEMET/C1206C332K3RACTU?qs=SmUuHNCnblohVLepLMAnTQ%3D%3D"
"C8,C10,C11","2.2u","3"," C1206C225K4RACTU","https://www.mouser.com/ProductDetail/KEMET/C1206C225K4RACTU?qs=zThxXyNivNUtVx37CV5QgQ%3D%3D"
"C9","470n","1","C1206C474K3RAC","https://www.mouser.com/ProductDetail/KEMET/C1206C474K3RAC?qs=1r5zKhvYIsgNUdBu0K1zkw%3D%3D"
"D1,D2,D3,D4,D5,D6,D7,D8","D","8","1N4448W-HE3_A-08","https://www.mouser.com/ProductDetail/Vishay/1N4448W-HE3_A-08?qs=Imq1NPwxi770gWrOhLU1lA%3D%3D"
"J1","AudioJack2_Switch","1"," NRJ4HF","https://www.mouser.com/ProductDetail/Neutrik/NRJ4HF?qs=XYKw4GFm8i25NTiqJyBUbQ%3D%3D"
"J2","AudioJack3_SwitchTR","1","SJ1-3535NG","https://www.mouser.com/ProductDetail/CUI-Devices/SJ1-3535NG?qs=WyjlAZoYn50jUmKVsqeRJw%3D%3D&srsltid=AfmBOorAU8q3irTlBE8MopxutzdxHOvLI-qGxLzFDUWxV8H3wwrbEURr"
"J3","USB_C_Receptacle_PowerOnly_6P","1","USB4125-GF-A","https://www.mouser.com/ProductDetail/GCT/USB4125-GF-A?qs=KUoIvG/9IlaIQ4zBJ6gLeA%3D%3D&srsltid=AfmBOordYifvugC9-QFPf9PkGPJLVaAF2caQVORQEN_rOUIR_BjNK82v"
"R1,R7,R14,R15","100","4","CRCW1206100RFKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW1206100RFKEA?qs=sGAEpiMZZMvdGkrng054txEw7b1YnvGupUj%2FRJHZqYE%3D"
"R2","1Meg","1","CRCW12061M00FKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW12061M00FKEA?qs=sGAEpiMZZMvdGkrng054txEw7b1YnvGuTxV6bR4eJgI%3D"
"R3,R4,R16","470k","3","CRCW1206470KFKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW1206470KFKEA?qs=sGAEpiMZZMvdGkrng054t51pOH1w%252BQdtWVJ4hgWdOak%3D"
"R5,R9","1k","2","CRCW12061K00FKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW12061K00FKEA?qs=sGAEpiMZZMvdGkrng054tygjBeyq%2FOAOmOYytucnaxQ%3D"
"R6","10k","1","CRCW120610K0FKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW120610K0FKEA?qs=sGAEpiMZZMvdGkrng054tygjBeyq%2FOAOzWIgM%252BxXmnY%3D"
"R8,R10","47k","2","CRCW120647K0FKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW120647K0FKEA?qs=sGAEpiMZZMvdGkrng054tygjBeyq%2FOAOSAL89hjafE0%3D"
"R11,R13","100k","2","CRCW1206100KFKEAC","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW1206100KFKEAC?qs=sGAEpiMZZMvdGkrng054t8r8AhKhXLMmmPOPUF3YIkGHV5%2F6A7eNFQ%3D%3D"
"R12","220k","1","CRCW1206220KFKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW1206220KFKEA?qs=sGAEpiMZZMvdGkrng054t51pOH1w%252BQdt3xoObIOJr40%3D"
"R17,R18","4.7k","2","CRCW12064K70FKEA","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW12064K70FKEA?qs=sGAEpiMZZMvdGkrng054txEw7b1YnvGunP%252BdLbFoRZo%3D"
"RV1","R_Potentiometer","1","PTV09A-2030F-B503","https://www.mouser.com/ProductDetail/Bourns/PTV09A-2030F-B503?qs=oyIm%2F3giSj7PFvq2byJ%252BHA%3D%3D"
"U1,U2","ADA4622-2xCP","2","ADA4622-2ARZ-R7","https://www.mouser.com/ProductDetail/Analog-Devices/ADA4622-2ARZ-R7?qs=JeIcUl65ClCCAMSDS6Ggdg%3D%3D"
